Code	Name	Block	Version	Radical	Strokes	VStrokes	Pinyin	MorohashiId	NelsonIds	Sources	JSource	Joyo	Jinmei	LinkCodes	LinkNames	LinkType	Meaning	On	Kun
3438	㐸	CJK_Ext_A	3.0	9	6		qiàn			GT				6B20	欠	Definition*	owe, lack, be deficient; KangXi radical number 76	KETSU	KAKERU AKUBI
3439	㐹	CJK_Ext_A	3.0	9	6		yì			GT				3476	㑶	Traditional*	anger, wrath, hatred, enmity	KI GAI KITSU	TAMEIKI
343A	㐺	CJK_Ext_A	3.0	9	6		yín			GJKT	JA-212D			773E	眾	Definition*	masses, people, multitude, crowd	SHUU SHU	OOI
343D	㐽	CJK_Ext_A	3.0	9	6		fēng			G				5051	偑	Traditional*		FUU FU	
3441	㑁	CJK_Ext_A	3.0	9	7		zhuō			GJT	JA-212E								
3442	㑂	CJK_Ext_A	3.0	9	7		fǎng			GJT	JA-212F			4EFF	仿	Definition*	imitate, copy; as if	HOU BOU	SAMAYOU NARAU KURABERU
3443	㑃	CJK_Ext_A	3.0	9	7		ǎo			GKT				62D7	拗	Definition*	to pull, drag, break off, to pluck (a flower); bent, warped; perverse, obstinate	OU YOU IKU	NEJIKERU SUNERU
3444	㑄	CJK_Ext_A	3.0	9	7		wǔ			GT				4FAE	侮	Definition*	insult, ridicule, disgrace	BU	ANADORU ANADORI
3445	㑅	CJK_Ext_A	3.0	9	7		zuò			GJT	JA-2130			4F5C	作	Definition*	make; work; compose, write; act, perform	SAKU SA	TSUKURU TSUKURI NASU
3447	㑇	CJK_Ext_A	3.0	9	7		zhòu			G				3473	㑳	Traditional*		SHIU SU SHU JU	HARAMU MIMEYOI YAMOME
3448	㑈	CJK_Ext_A	3.0	9	7		dòng			G				5032	倲	Traditional*		TOU TSU	OROKANASAMA
344C	㑌	CJK_Ext_A	3.0	9	8		kuāng			GHKT				5C2A	尪	Definition*	lame	OU	MAGARU YOWAI
3450	㑐	CJK_Ext_A	3.0	9	8		shū			GJT	JA-2131								
3452	㑒	CJK_Ext_A	3.0	9	8					J	JA-2132								
3453	㑓	CJK_Ext_A	3.0	9	8					JT	JA-2133								
3458	㑘	CJK_Ext_A	3.0	9	9		jiè			GJT	JA-2134			4EF7	价	Definition*	price, value	KAI	YOI OOKII TSUKAI
345A	㑚	CJK_Ext_A	3.0	9	9		nuó			GT				90A3	那	Definition*	that, that one, those	DA NA	NANZO NANI
345E	㑞	CJK_Ext_A	3.0	9	9		yìng			GJT	JA-2135			5AB5	媵	Definition*	a maid who accompanies bride to her new home; to escort; a concubine	YOU	OKURU TSUKISOHI OKURIME OKURIBITO
3464	㑤	CJK_Ext_A	3.0	9	11		miáo			GHJT	JA-213A			5A8C	媌	Definition*		BOU MYOU BOKU MOKU	MIMEYOI
3466	㑦	CJK_Ext_A	3.0	9	10		lì			GJKT	JA-2136			623E	戾	Definition*	perverse, recalcitrant, rebellious	REI RAI	MODOSU MOTORU ITARU
3467	㑧	CJK_Ext_A	3.0	9	10		jì			GJKT	JA-2137								
3468	㑨	CJK_Ext_A	3.0	9	10		yǔ			J	JA4-215E								
3469	㑩	CJK_Ext_A	3.0	9	10		luó			G				5138	儸	Traditional*	bandit, daredevil	RA	SABAKU
346A	㑪	CJK_Ext_A	3.0	9	10		chái			J	JA4-2156			5115	儕	Definition*	a company, companion; together	SEI SAI	TOMOGARA
3473	㑳	CJK_Ext_A	3.0	9	12		zhòu			GHKT				5AB0	媰	Definition*		SHIU SU SHU JU	HARAMU MIMEYOI YAMOME
3474	㑴	CJK_Ext_A	3.0	9	12					GT				4FB5	侵	Definition*	invade, encroach upon, raid	SHIN	OKASU
3475	㑵	CJK_Ext_A	3.0	9	12		hàn			GKT				5AC9	嫉	Definition*	jealousy; be jealous of	SHITSU	NETAMU NIKUMU
3476	㑶	CJK_Ext_A	3.0	9	12		xì			GT				3439	㐹	Simplified*	strong; valiant	KITSU KOCHI GOCHI	ISAMASHII
3477	㑷	CJK_Ext_A	3.0	9	12		tài			GKT				614B	態	Definition*	manner, bearing, attitude	TAI	SAMA WAZATO
3478	㑸	CJK_Ext_A	3.0	9	12		yáo			GJ	JA-213B								
3479	㑹	CJK_Ext_A	3.0	9	12		huì			JT	JA-213C			6703	會	Definition*	to assemble, meet together; a meeting; an organization	KAI E	AU
347A	㑺	CJK_Ext_A	3.0	9	12		jùn			GHT				5101	儁	Traditional*	outstanding, fine; superior; talented, capable; handsome	SHUN	SUGURERU
347D	㑽	CJK_Ext_A	3.0	9	13		táng			GHT				508F	傏	Definition*	to ward off; to parry; to keep out, as wind, rain, or cold	TOU DOU	OGORU
347E	㑾	CJK_Ext_A	3.0	9	13		yáo			GHKT				7E47	繇	Definition*	reason, cause	YOU YUU YU CHUU JU	SHITAGAU
3481	㒁	CJK_Ext_A	3.0	9	13		yǔ			GKT				4FC1	俁	Definition*	big	GU	OOKII
3483	㒃	CJK_Ext_A	3.0	9	14		èr			GKT				8CB3	貳	Definition*	number two	NI JI	FUTATSU
3486	㒆	CJK_Ext_A	3.0	9	14		chì			GT				6B59	歙	Definition*	to suck; a county's name in anhui	KYUU SHOU KYOU	SUU
3487	㒇	CJK_Ext_A	3.0	9	14		wǔ			GKT				61AE	憮	Definition*	regretful, disappointed	BU KO	ITSUKUSHIMU
3489	㒉	CJK_Ext_A	3.0	9	14		tǎng			GT				60DD	惝	Definition*	alarmed, agitated	SHOU TOU	UTSUTORISURU
348C	㒌	CJK_Ext_A	3.0	9	14		qióng			GT				7162	煢	Definition*	alone; no friends or relatives	KEI	
3492	㒒	CJK_Ext_A	3.0	9	15		pú			GJT	J4-217E			50D5	僕	Definition*	slave, servant, I	BOKU	SHIMOBE YATSUGARE
3493	㒓	CJK_Ext_A	3.0	9	15		tà			GHKT				9054	達	Definition*	arrive at, reach; intelligent	TATSU DACHI	TOORU TODOKU
3496	㒖	CJK_Ext_A	3.0	9	15		ǒu			GHT				85D5	藕	Definition*	lotus root	GUU GOU GU	HASUNONE
3497	㒗	CJK_Ext_A	3.0	9	15		tái			T				5113	儓	Definition*	servant	TAI	KERAI MINIKUI ATARU
349A	㒚	CJK_Ext_A	3.0	9	16		yìn			GT				7A69	穩	Definition*	stable, firm, solid, steady	ON	ODAYAKA
34A4	㒤	CJK_Ext_A	3.0	9	20		chè			GKT				61FE	懾	Definition*	afraid, scared, fearful	SHOU	OSORERU
34A6	㒦	CJK_Ext_A	3.0	9	20		lěi			GT				5121	儡	Definition*	puppet, dummy	RAI	YABURERU TSUKARERU
34A7	㒧	CJK_Ext_A	3.0	9	21		lì			GKT				5137	儷	Definition*	spouse, couple, pair	REI	TSUREAI NARABU
34A8	㒨	CJK_Ext_A	3.0	9	21					GT				4ED9	仙	Definition*	Taoist super-being, transcendent, immortal	SEN	SENNIN SENTO
34AA	㒪	CJK_Ext_A	3.0	9	26					GT				932B	錫	Definition*	tin, stannum; bestow, confer	SEKI SHAKU SHI	SUZU
34AB	㒫	CJK_Ext_A	3.0	10	6		jì			GJT	JA-213D			65E1	旡	Definition*	choke on something eaten	KI KE	MUSEBU
34AD	㒭	CJK_Ext_A	3.0	10	10					GT				6606	昆	Definition*	elder brother; descendants	KON	ANI
34B0	㒰	CJK_Ext_A	3.0	11	5		quán			GT				5168	全	Definition*	maintain, keep whole or intact	ZEN SEN	MATTAKU MATTAI MATTOUSURU
34B2	㒲	CJK_Ext_A	3.0	11	6		cái			GKT				8CA1	財	Definition*	wealth, valuables, riches	ZAI SAI	TAKARA WAZUKA
34B3	㒳	CJK_Ext_A	3.0	11	7		liǎng			GT				5169	兩	Definition*	two, both, pair, couple; ounce	RYOU	FUTATSU
34B4	㒴	CJK_Ext_A	3.0	11	7		gǔ			GJT	JA-213E								
34B5	㒵	CJK_Ext_A	3.0	12	7		mào			GJT	JA3-2E53			8C8C	貌	Definition*	countenance, appearance	BOU BAKU	KATACHI KATADORU
34B6	㒶	CJK_Ext_A	3.0	12	7					GJT	JA-213F			516C	公	Definition*	fair, equitable; public; duke	KOU	OOYAKE KIMI
34B8	㒸	CJK_Ext_A	3.0	12	9		suì			GT				9042	遂	Definition*	comply with, follow along; thereupon	SUI ZUI	TOGERU TSUINI
34B9	㒹	CJK_Ext_A	3.0	12	20					GKT				985B	顛	Definition*	top, peak, summit; upset	TEN	ITADAKI TAORERU
34BB	㒻	CJK_Ext_A	3.0	13	11		mào			GT				5192	冒	Definition*	risk, brave, dare	BOU	OKASU OOU
34BC	㒼	CJK_Ext_A	3.0	13	11		mán			GHJKT	JA4-232B								
34C1	㓁	CJK_Ext_A	3.0	14	4		wǎng			HJK	JA4-7468			7F51	网	Semantic*	net; network; KangXi radical 122	BOU MOU	AMI
34C2	㓂	CJK_Ext_A	3.0	14	9		kòu			GT				5BC7	寇	Definition*	bandits, thieves; enemy; invade	KOU	ADASURU ADA
34C3	㓃	CJK_Ext_A	3.0	14	12		dù			GJKT	JA-2143			8A6B	詫	Definition*	to brag; exaggerated; to wonder at	TA	KAKOTSU WABIRU WABI
34C7	㓇	CJK_Ext_A	3.0	15	6					JT	J4-232F								
34D4	㓔	CJK_Ext_A	3.0	15	12		xiè			GT				8B1D	謝	Definition*	thank; decline	SHA JA	AYAMARU WABI KOTOWARU
34D7	㓗	CJK_Ext_A	3.0	15	14		jié			GJT	JA-2144			6F54	潔	Definition*	clean, purify, pure	KETSU	ISAGYOI
34D9	㓙	CJK_Ext_A	3.0	17	6					K				51F6	凶	Definition*	culprit; murder; bad, sad	KYOU	WARUI
34DB	㓛	CJK_Ext_A	3.0	18	5					JT	JA3-2E5B								
34DC	㓜	CJK_Ext_A	3.0	18	5		yòu			GJT	JA-225C								
34DD	㓝	CJK_Ext_A	3.0	18	6		xíng			GJT	JA-2146			5211	刑	Definition*	punishment, penalty; law	KEI GYOU	NORI SHIOKI
34DE	㓞	CJK_Ext_A	3.0	18	6		qià			GT				5951	契	Definition*	deed, contract, bond; engrave	SETSU KEI	CHIGIRU KIZAMU WARIFU
34E0	㓠	CJK_Ext_A	3.0	18	7		diàn			GTV				73B7	玷	Definition*	flaw in gem; flaw in character	TEN	KAKERU
34E1	㓡	CJK_Ext_A	3.0	18	8		fǔ			GT				5F23	弣	Definition*	middle	FU	YUZUKA
34E3	㓣	CJK_Ext_A	3.0	18	8		qià			GT				5272	割	Definition*	cut, divide, partition; cede	KATSU	WARU SAKU WARERU
34E4	㓤	CJK_Ext_A	3.0	18	8		qià		677	GHKT								KATSU	
34E8	㓨	CJK_Ext_A	3.0	18	9		cí			GT				523A	刺	Definition*	stab; prick, irritate; prod	SHI SEKI	SASU SOSHIRU TOGE
34EA	㓪	CJK_Ext_A	3.0	18	9		lǎng			GJK	JA-2147			6717	朗	Definition*	clear, bright; distinct	ROU	HOGARAKA AKIRAKA
34EC	㓬	CJK_Ext_A	3.0	18	10					GJT	JA-2148			5233	刳	Definition*	cut out, dig, rip up, scoop out	KO	EGURU
34ED	㓭	CJK_Ext_A	3.0	18	10		shé			GTV				97A8	鞨	Definition*	tribe	KATSU GACHI SETSU	KAWAGUTSU
34EE	㓮	CJK_Ext_A	3.0	18	10		diāo			GT				96D5	雕	Definition*	engrave, inlay, carve; exhaust; used for U+9D70 鵰 an eagle, vulture	CHOU	WASHI KIZAMU
34EF	㓯	CJK_Ext_A	3.0	18	10		lí			GT				5299	劙	Definition*	a divide, to partition	RI REI RAI	TOKU WAKERU WARU
34F0	㓰	CJK_Ext_A	3.0	18	10		huà			K				5283	劃	Definition*	divide, mark off, lay boundary	KAKU	WAKATSU
34F2	㓲	CJK_Ext_A	3.0	18	11		piān			GJKT	JA-2149								
34F5	㓵	CJK_Ext_A	3.0	18	11		è			GKT				9354	鍔	Definition*	high, lofty; edge of knife	GAKU	TSUBA
34F6	㓶	CJK_Ext_A	3.0	18	11		qiè			GTV				9365	鍥	Definition*	sickle; cut, carve, engrave	KETSU KECHI KEI	KAMA KIZAMU
34F7	㓷	CJK_Ext_A	3.0	18	12		yì			GT				5293	劓	Definition*	cut off nose	GI GEI	HANAKIRU HANAKIRI SAKU
34F8	㓸	CJK_Ext_A	3.0	18	12		zhuō			GKT				65B2	斲	Definition*	cut, chop, hack	TAKU	KIRU
34F9	㓹	CJK_Ext_A	3.0	18	12		ruì			GT				92B3	銳	Definition*	sharp, keen, acute, pointed	EI TAI	SURUDOI HAYAI
34FB	㓻	CJK_Ext_A	3.0	18	12					GHKT				525B	剛	Definition*	hard, tough, rigid, strong	GOU	TSUYOI KOWAI
3501	㔁	CJK_Ext_A	3.0	18	14		dēng			GJT	JA-214A								
3503	㔃	CJK_Ext_A	3.0	18	14		jué			GT				7D55	絕	Definition*	cut, sever, break off, terminate	ZETSU	TAERU TATSU TAYASU
3507	㔇	CJK_Ext_A	3.0	18	14					GT				93FA	鏺	Definition*		HATSU HACHI	KAMA
350F	㔏	CJK_Ext_A	3.0	18	17		lì			GKT				5246	剆	Definition*		RA	UTSU
3513	㔓	CJK_Ext_A	3.0	19	5		jiǎn			GJT	JA-214B								
3515	㔕	CJK_Ext_A	3.0	19	6		jí			GJT	JA-214C								
3517	㔗	CJK_Ext_A	3.0	19	7		fèi			GJT	JA-214D								
3518	㔘	CJK_Ext_A	3.0	19	7		chù			T				9EDC	黜	Definition*	dismiss; demote, downgrade	CHUTSU	SHIRIZOKERU
351A	㔚	CJK_Ext_A	3.0	19	8		jié			GJT	JA-214E								
351C	㔜	CJK_Ext_A	3.0	19	9		bá			GJT	JA-214F			52C3	勃	Definition*	suddenly, sudden, quick	BOTSU HOTSU	NIWAKANI OKORU
351F	㔟	CJK_Ext_A	3.0	19	10					J	JA4-2348								
3525	㔥	CJK_Ext_A	3.0	19	17		bài			GKT				75B2	疲	Definition*	feel tired, be exhausted; weak	HI	TSUKARERU TSUKARE
3526	㔦	CJK_Ext_A	3.0	19	17		yǎng			GJT	JA-2151								
352B	㔫	CJK_Ext_A	3.0	21	4					J	JA-2152								
352C	㔬	CJK_Ext_A	3.0	21	8					GJT	JA-2153			5353	卓	Definition*	profound, brilliant, lofty	TAKU	SUGURERU
352D	㔭	CJK_Ext_A	3.0	21	11		chè			GT				5319	匙	Definition*	spoon; surname	SHI JI	SAJI
352F	㔯	CJK_Ext_A	3.0	22	7		xuán			GT				5334	匴	Definition*		SAN SEN	
3530	㔰	CJK_Ext_A	3.0	22	7		héng			GJT	JA-2154			6046	恆	Definition*	constant, regular, persistent	KOU	TSUNE
3531	㔱	CJK_Ext_A	3.0	22	11		yǔ			GJT	JA-2155			5EBE	庾	Definition*	granary; storehouse	YU	KURA
3533	㔳	CJK_Ext_A	3.0	22	13		guǐ			GJT	JA-2156			7C0B	簋	Definition*	a square basket of bamboo for holding grain used at sacrifices, feast	KI	
3534	㔴	CJK_Ext_A	3.0	22	13		yì			GJT	JA-2157								
3535	㔵	CJK_Ext_A	3.0	22	14		xuǎn			GJT	JA-2158								
3537	㔷	CJK_Ext_A	3.0	23	7		lòu			GT				964B	陋	Definition*	narrow; crude, coarse; ugly	ROU	SEMAI IYASHII
3539	㔹	CJK_Ext_A	3.0	24	4		lè			GT				4EC2	仂	Definition*	surplus or excess; remainder	ROKU RYOKU	AMARI TSUTOMERU
353A	㔺	CJK_Ext_A	3.0	24	6		shì		84	GJT	JA-2159			4E16	世	Definition*	generation; world; era	SE SEI	YO
353B	㔻	CJK_Ext_A	3.0	24	6					GT				4E15	丕	Definition*	great, grand, glorious, distinguished	HI	OOKII
353C	㔼	CJK_Ext_A	3.0	24	13		sǔn			GJT	JA-215A			69AB	榫	Definition*	mortise and tenon; fit into	SHUN	HOZO
353D	㔽	CJK_Ext_A	3.0	25	8		yào			GT				5363	卣	Definition*	wine pot	YUU YU	SAKETSUBO
353E	㔾	CJK_Ext_A	3.0	26	2		xiān			GHJKT	JA-215B			7BC0	節	Definition*	knot, node, joint; section	SETSU SECHI	FUSHI MISAO NOTTO
3541	㕁	CJK_Ext_A	3.0	26	8		què			GKT				537B	卻	Definition*	still, but; decline; retreat	KYAKU	SHIRIZOKU SHIRIZOKERU KAETTE
3542	㕂	CJK_Ext_A	3.0	27	6		yín			GT				541F	吟	Definition*	sing, hum; recite; type of poetry	GIN KIN	UTAU NAKU
3543	㕃	CJK_Ext_A	3.0	27	6		xī			GJT	JA-215C								
3544	㕄	CJK_Ext_A	3.0	27	6		zhǐ			GT				538E	厎	Definition*	settle	SHI KII TOU TEI CHI	TO MIGAKU TAIRANISURU
354D	㕍	CJK_Ext_A	3.0	27	10					GT				5806	堆	Definition*	heap, pile, crowd; pile up	TAI TSUI	UZUTAKAI
3551	㕑	CJK_Ext_A	3.0	27	14		chú			GHT				53A8	厨	Definition*	kitchen; closet; cupboard	ZU CHUU	KURIYA
3553	㕓	CJK_Ext_A	3.0	27	17					HJ	JA-215D								
3554	㕔	CJK_Ext_A	3.0	27	24					T				5EF3	廳	Definition*	hall, central room	CHOU TEI	YAKUSHO IE
3555	㕕	CJK_Ext_A	3.0	28	4		huàn			GT				5E7B	幻	Definition*	illusion, fantasy, mirage	GEN	MABOROSHI
3556	㕖	CJK_Ext_A	3.0	28	10		sù			GT				7D20	素	Definition*	white (silk); plain; vegetarian; formerly; normally	SO SU	SHIROGINU KIJI MOTO
3557	㕗	CJK_Ext_A	3.0	28	11		yòu			GKT				8A98	誘	Definition*	persuade, entice, induce; guide	YUU	SASOU IZANAU
3558	㕘	CJK_Ext_A	3.0	28	11					GT				53C3	參	Definition*	take part in, intervene; ginseng	SAN	MAIRU
355A	㕚	CJK_Ext_A	3.0	29	4		zhǎo			GJT	JA-215E			722A	爪	Definition*	claw, nail, talon; animal feet	SOU	TSUME
355B	㕛	CJK_Ext_A	3.0	29	4		xù			GJT	JA-215F			53CB	友	Definition*	friend, companion; fraternity	YUU	TOMO
355C	㕜	CJK_Ext_A	3.0	29	6		shǐ			GJT	JA-2160			53F2	史	Definition*	history, chronicle, annals	SHI	FUBITO FUMI SAKAN
355D	㕝	CJK_Ext_A	3.0	29	7					J	JA4-235D								
355E	㕞	CJK_Ext_A	3.0	29	8		shuā			GJT	JA4-235E			5237	刷	Definition*	brush; clean with brush, scrub	SATSU	SURU HAKU HAKE
355F	㕟	CJK_Ext_A	3.0	29	9		kuì			GT				559F	喟	Definition*	heave sigh, sigh	KI KUWAI KE	TAMEIKI
3560	㕠	CJK_Ext_A	3.0	29	12		shuāng			GT				96D9	雙	Definition*	set of two, pair, couple; both	SOU	FUTA FUTATSU NARABU
3561	㕡	CJK_Ext_A	3.0	29	14		hé			GHT				58D1	壑	Definition*	bed of torrent, narrow ravine	GAKU KAKU	TANI
3563	㕣	CJK_Ext_A	3.0	30	5		yǎn			GJT	JA4-2361			6E62	湢	Definition*	bathroom; neat; orderly	HYOKU HIKI	YUDONO
3566	㕦	CJK_Ext_A	3.0	30	6		huà			GJKT	JA-2164								
3567	㕧	CJK_Ext_A	3.0	30	6		xī			GJT	JA-2165								
356B	㕫	CJK_Ext_A	3.0	30	7		fǎng			GT				4EFF	仿	Definition*	imitate, copy; as if	HOU BOU	SAMAYOU NARAU KURABERU
356C	㕬	CJK_Ext_A	3.0	30	7		gōng			GT				8A1F	訟	Definition*	accuse; argue, dispute; litigate	SHOU JU	ARASOU UTTAERU UTTAE
356D	㕭	CJK_Ext_A	3.0	30	7		āo			GHKTV				54AC	咬	Definition*	bite, gnaw	KOU GOU YOU	KAMU
356E	㕮	CJK_Ext_A	3.0	30	7		fǔ			GJT	J4-2367								
356F	㕯	CJK_Ext_A	3.0	30	7		nè			GJT	JA-2166								
3570	㕰	CJK_Ext_A	3.0	30	7		xuè			GHTV				561B	嘛	Definition*	final exclamatory particle	MA	
3575	㕵	CJK_Ext_A	3.0	30	7		guó			GJTV	JA-2167								
3579	㕹	CJK_Ext_A	3.0	30	8		fá			GJKT	JA-2169								
357D	㕽	CJK_Ext_A	3.0	30	8		sì			GJ	JA-216A								
3581	㖁	CJK_Ext_A	3.0	30	9		lìn			GT				541D	吝	Definition*	stingy, miserly, parsimonious	RIN	OSHIMU
3582	㖂	CJK_Ext_A	3.0	30	9		yì			GT				8A4D	詍	Definition*		EI SETSU SECHI	SHIYABIRU
3583	㖃	CJK_Ext_A	3.0	30	9		hǒu			GKT				543C	吼	Definition*	roar, shout; bark, howl	KOU KU	HOERU
3591	㖑	CJK_Ext_A	3.0	30	10		xiè			GTV				6B38	欸	Definition*	sigh; an exclamatory sound	AI KAI	NAGEKU
3592	㖒	CJK_Ext_A	3.0	30	10		tí			GT				557C	啼	Definition*	weep, whimper; howl, twitter	TEI	NAKU
3596	㖖	CJK_Ext_A	3.0	30	10		niè			GJT	JA-216B								
3598	㖘	CJK_Ext_A	3.0	30	10		zhēn			GHT				5507	唇	Definition*	lips	SHIN	KUCHIBIRU
359E	㖞	CJK_Ext_A	3.0	30	10		wāi			G				558E	喎	Traditional*	a wry mouth; (Cant.) a final particle expressing contradiction, quotation, etc.	KA	YUGAMU
35A0	㖠	CJK_Ext_A	3.0	30	11		nuò			GKTV				90A3	那	Definition*	that, that one, those	DA NA	NANZO NANI
35A2	㖢	CJK_Ext_A	3.0	30	11		qí			GJT	JA-216C								
35A3	㖣	CJK_Ext_A	3.0	30	11		tòu			GTV				5485	咅	Definition*	to spit out	TOU	TSUBAOHAITEINAMU
35A6	㖦	CJK_Ext_A	3.0	30	11		dǒng			GJT	J4-2423								
35A7	㖧	CJK_Ext_A	3.0	30	11		hūn			GKTV				543B	吻	Definition*	kiss; the lips; coinciding	FUN BUN	KUCHISAKI
35A8	㖨	CJK_Ext_A	3.0	30	11		lù			GJT	J4-2426								
35A9	㖩	CJK_Ext_A	3.0	30	11		jū			GT				55FE	嗾	Definition*	to set a dog on; incite, instigate	SOU	SOSONOKASU
35AB	㖫	CJK_Ext_A	3.0	30	11		líng			GJTV	JA-216D								
35AD	㖭	CJK_Ext_A	3.0	30	11		tiǎn			GH				8214	舔	Definition*	lick with tongue; taste	TEN	NAMERU
35B6	㖶	CJK_Ext_A	3.0	30	12		yān			GJT	JA-216E			6357	捗	Definition*	make progress	HO CHOKU	HAKADORU
35B7	㖷	CJK_Ext_A	3.0	30	12		shí			GT				557C	啼	Definition*	weep, whimper; howl, twitter	TEI	NAKU
35B8	㖸	CJK_Ext_A	3.0	30	12		xué			GTV				5671	噱	Definition*	laugh heartily, laugh aloud	KYAKU GAKU	
35B9	㖹	CJK_Ext_A	3.0	30	12		pēn			GKTV				5674	噴	Definition*	spurt, blow out, puff out	FUN	FUKU HAKU
35BC	㖼	CJK_Ext_A	3.0	30	12		duǒ			GTV				8B00	謀	Definition*	plan, scheme; stratagem	BOU MU	HAKARU HAKARIGOTO
35BE	㖾	CJK_Ext_A	3.0	30	12		è			GT				6115	愕	Definition*	startled, alarmed, astonished	GAKU	ODOROKU
35C0	㗀	CJK_Ext_A	3.0	30	12		yōu			GKTV				5466	呦	Definition*	the bleating of the deer	IU YU AU EU	MUSEBU SAKEBU
35C1	㗁	CJK_Ext_A	3.0	30	12		è			GHJKTV	JA-216F			9F76	齶	Definition*	palate, roof of mouth	GAKU	HAGUKI
35C2	㗂	CJK_Ext_A	3.0	30	12		shěng			GTV				7701	省	Definition*	province; save, economize	SEI SHOU	KAERIMIRU HABUKU MIRU
35C3	㗃	CJK_Ext_A	3.0	30	12		wěn			GT				543B	吻	Definition*	kiss; the lips; coinciding	FUN BUN	KUCHISAKI
35C4	㗄	CJK_Ext_A	3.0	30	12		kū			GT				8B3E	謾	Definition*	deceive, insult	BAN MAN	AZAMUKU ANADORU
35C5	㗅	CJK_Ext_A	3.0	30	12		hú			GHJTV	J4-242F			80E1	胡	Definition*	recklessly, foolishly; wildly	KO GO	NANZO EBISU
35C6	㗆	CJK_Ext_A	3.0	30	12		gé			GJT	JA-2170			55DD	嗝	Definition*	cackling of fowls to gag, to vomit	KAKU KYAKU	SHAKURI
35C7	㗇	CJK_Ext_A	3.0	30	12		xiá			GHJT	JA-2171								
35C8	㗈	CJK_Ext_A	3.0	30	12		màn			GTV				66FC	曼	Definition*	long, extended, vast; beautiful	BAN MAN	HIKU NAGAI HIROI
35CA	㗊	CJK_Ext_A	3.0	30	12		jí			GHT				96F7	雷	Definition*	thunder	RAI RUI	KAMINARI IKAZUCHI
35CB	㗋	CJK_Ext_A	3.0	30	12		hóu			GT				5589	喉	Definition*	throat, gullet, larynx; guttural	KOU	NODO
35D4	㗔	CJK_Ext_A	3.0	30	13		qiān			GJT	JA-2172								
35D5	㗕	CJK_Ext_A	3.0	30	13		gòu			GTV				96CA	雊	Definition*	the crow of a male pheasant	KOU KU	
35D6	㗖	CJK_Ext_A	3.0	30	13		dàn			GHJTV	JA-2173			5557	啗	Definition*	eat, chew, bite; entice, lure	TAN	KUU KURAWASU
35D9	㗙	CJK_Ext_A	3.0	30	13		chū			GTV				8B05	謅	Definition*	play with words, quip; talk nonsense	SOU SHOU SHUU SHU	MOTEASOBU
35DA	㗚	CJK_Ext_A	3.0	30	13		lì			GJTV	J4-2438								
